number,advertiser,format,startDate,daysRunning,primaryText,headline,cta,keyword,link
1,"g his true identity.","Image/Unknown","2026-03-03",23,"Connor Reed, the most powerful arms dealer in the world, saves a Charlotte Hayes and spends the night with her while he is undercover. Four years later, while still hiding, Charlotte shows up... with their child. Now Connor must keep both of them safe... without revealing his true identity.","Active Library ID: 1682044576118322","Learn More","Digital Boss Mom","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Boss%20Mom&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
2,"his true identity.","Image/Unknown","2025-08-17",221,"Connor Reed, the most powerful arms dealer in the world, saves a Charlotte Hayes and spends the night with her while he is undercover. Four years later, while still hiding, Charlotte shows up... with their child. Now Connor must keep both of them safe... without revealing his true identity.","Active Library ID: 1915587922563975","Learn More","Digital Boss Mom","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Boss%20Mom&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
3,"d Bless!","Image/Unknown","2026-03-02",24,"Connor Reed, the most powerful arms dealer in the world, saves a Charlotte Hayes and spends the night with her while he is undercover. Four years later, while still hiding, Charlotte shows up... with their child. Now Connor must keep both of them safe... without revealing his true identity.","Active Library ID: 1415174206750788","Learn More","Digital Boss Mom","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Boss%20Mom&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
4,"0:00 / 29:06","Image/Unknown","2026-03-11",15,".. with their child. Now Connor must keep both of them safe... without revealing his true identity. Listen to one of the most interesting audio series “I'm Married to a Stranger” Only on the PocketFM app. Download Now! To find out, listen to the audioseries 'I'm Married to a Stranger' (FREE for a li","Active Library ID: 1277792437561801","Learn More","Digital Boss Mom","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Digital%20Boss%20Mom&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
5,"Meta Ad Library","Image/Unknown","2024-03-05",751,"These results include ads that match your keyword search.","Active Library ID: 1553027725518311","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
6,"e ayudo a mi te invito a escribir la palabra YO en los comments!!","Image/Unknown","2025-11-17",129,"Si quieres aprender más acerca del curso que me ha impulsado a tener estos resultados: Todo lo que necesitas para comenzar está en el link 🔗 de mi perfil! (asegúrate de seguirme o sino no podré enviarte un MD)","Active Library ID: 858596190002136","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
7,"y-step marketing guides so you can start selling immediately.","Image/Unknown","2026-02-20",34,"I've helped thousands of people go from confused beginner to making consistent sales, and this toolkit eliminates all the guesswork. 🚀 Stop overthinking and start selling… get everything for only $4.95 today. While most entrepreneurs spend months trying to create their first product, a silent revol","Active Library ID: 1313499243941696","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
8,"Sponsored","Image/Unknown","2026-02-20",34,"Ready to build something online? Tap the link and take the first step today! 🚀 This Is Either Your Turning Point — Or Another Scroll. DWA became the one stop shop viral course on the internet for good reasons, It’s the only course you need that will actually teach you everything when it comes to ma","Active Library ID: 1567404301200718","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
9,"Sponsored","Image/Unknown","2026-01-31",54,"Ready to build something online? Tap the link and take the first step today! 🚀 This Is Either Your Turning Point — Or Another Scroll. DWA became the one stop shop viral course on the internet for good reasons, It’s the only course you need that will actually teach you everything when it comes to ma","Active Library ID: 2626293497766151","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
10,"e,” and I started learning the skills that could change everything.","Image/Unknown","2026-02-22",32,"That one decision led to me retiring my mom, building a multi-7-figure brand, teaching over 130k students around the world. Now I teach women how to create income, freedom, and confidence through digital marketing...without needing a degree, a following, or permission. & in the first 30 days I’ll sh","Active Library ID: 1915775692642282","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
11,"y-step marketing guides so you can start selling immediately.","Image/Unknown","2024-05-15",680,"I've helped thousands of people go from confused beginner to making consistent sales, and this toolkit eliminates all the guesswork. 🚀 Stop overthinking and start selling… get everything for only $4.95 today. While most entrepreneurs spend months trying to create their first product, a silent revol","Active Library ID: 1842974032782610","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
12,"top overthinking and start selling… get everything for only $4.95 today.","Image/Unknown","2025-11-06",140,"top overthinking and start selling… get everything for only $4.95 today. While most entrepreneurs spend months trying to create their first product, a silent revolution is happening in the $135 billion digital product market...Smart home-based entrepreneurs are quietly building 6-figure businesses b","Active Library ID: 1379904190597381","Learn More","Faceless Digital Marketing","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Faceless%20Digital%20Marketing&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
13,"Meta Ad Library","Image/Unknown","2025-06-01",298,"These results include ads that match your keyword search.","Active Library ID: 1900469874050474","Learn More","Simple Profit System","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Simple%20Profit%20System&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
14,"what you get when you order your $20 store today: 🎁","Image/Unknown","2025-05-13",317,"#4 - Integrated Supplier: Private US based supplier who will automatically ship your products FAST 📄 #5 - Money Back Guarantee: If you don't love your store, let us know for a full refund. Get your store today: https://www.ecomsites.design/brandedstores","Active Library ID: 684055497594977","Learn More","Simple Profit System","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Simple%20Profit%20System&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
15,"Get your store today: https://www.ecomsites.design/brandedstores","Image/Unknown","2025-05-13",317,"#5 - Money Back Guarantee: If you don't love your store, let us know for a full refund. Get your store today: https://www.ecomsites.design/brandedstores How to transform dreaded sales calls into effortless closings. Hint: It isn't luck—it's an underused technique anyone can master in just days. (Wat","Active Library ID: 1740417503563949","Learn More","Simple Profit System","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Simple%20Profit%20System&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
16,"Started running on 14 May 2025","Image/Unknown","2025-12-16",100,"How to transform dreaded sales calls into effortless closings. Hint: It isn't luck—it's an underused technique anyone can master in just days. (Watch this and never fear sales again!) How to transform dreaded sales calls into effortless closings. Hint: It isn't luck—it's an underused technique anyon","Active Library ID: 852264120991928","Learn More","Simple Profit System","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Simple%20Profit%20System&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
17,"Why?","Image/Unknown","2025-09-02",205,"We're providing a real, valuable service to businesses. You're not setting up complicated A.I. systems like many of these ""A.I."" business models require. If this sounds good, I'm giving away my entire course for 99% off right now.","Active Library ID: 31486842027598207","Learn More","Simple Profit System","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Simple%20Profit%20System&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
18,"16. Case Studies","Image/Unknown","2026-01-27",58,"16.5 TikTok – Rapid Global Sales Growth through Viral Marketing and Targeted Advertising 16.6 Nike – Leveraging Innovation and Community Engagement for Sales Growth Instant PDF Download: business-explained.com/shop/sales-strategies-explained/","Active Library ID: 1231889202217377","Learn More","Simple Profit System","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Simple%20Profit%20System&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
19,"injections.","Image/Unknown","2024-09-17",555,"Because the medical system isn't coming to save you. They profit too much from keeping you on injections for life. Go get it. And use the clear vision you get back to finally stop worrying and start living again. 👉 https://neuro-bella.com/products/15-in-1-advanced-eye-formula","Active Library ID: 1021731136357765","Learn More","Simple Profit System","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Simple%20Profit%20System&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
20,"sion you get back to finally stop worrying and start living again.","Image/Unknown","2025-11-12",134,"sion you get back to finally stop worrying and start living again. 👉 https://neuro-bella.com/products/15-in-1-advanced-eye-formula Get the help you need to grow your clothing store online. Our Ecomm Accelerator Process provides five core pillars to help you attract and retain customers, increasing ","Active Library ID: 861077039779573","Learn More","Simple Profit System","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Simple%20Profit%20System&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
21,"Meta Ad Library","Image/Unknown","2025-12-03",113,"These results include ads that match your keyword search.","Active Library ID: 713579648486320","Learn More","The Digital Product Lab","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=The%20Digital%20Product%20Lab&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
22,"tes","Image/Unknown","2026-02-19",35,"These results include ads that match your keyword search. ✨ A new generation of master’s programmes. Different ways to live the Fab Lab experience. Fab Lab unveils a renewed academic chapter that redefines how architecture, research and innovation meet.","Active Library ID: 895983936371049","Learn More","The Digital Product Lab","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=The%20Digital%20Product%20Lab&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
23,"ademic chapter that redefines how architecture, research and innovation meet.","Image/Unknown","2024-11-02",509,"ademic chapter that redefines how architecture, research and innovation meet. Smile with Confidence. Discover the unmatched comfort and natural look of SunFlex Partials by Sun Dental Labs. Say goodbye to metal clasps and hello to a seamless smile today.","Active Library ID: 1471389250097126","Learn More","The Digital Product Lab","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=The%20Digital%20Product%20Lab&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
24,"0:00 / 1:44","Image/Unknown","2026-01-10",75,"“Just purchased and began watching. Someone give this woman all the awards, and for sure give her $7!🗣️🗣️🗣️” 👉 Ready to level up your digital products? Get instant access now for just $7: https://mightygrowthlab.com/google-docs-makeover-magic/ 💸 There’s also a 7-Day Money-Back Guarantee because","Active Library ID: 1538879747391850","Learn More","The Digital Product Lab","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=The%20Digital%20Product%20Lab&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
25,"I don’t want to be one of them.","Image/Unknown","2026-02-19",35,"❄️🚨Super προσφορά! ☃️🧤 Winter Sales με ΔΩΡΕΑΝ έως 100 Σελίδες! 📸 Αγοράστε τώρα, φτιάξτε το αργότερα! ⭐150.000+ θετικά reviews!","Active Library ID: 1544716583254595","Learn More","The Digital Product Lab","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=The%20Digital%20Product%20Lab&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
26,"ψεις!","Image/Unknown","2026-01-10",75,"Unlock the Beauty of Durability with Ocean Blue Zirconia Crowns! Superior strength meets stunning aesthetics. Perfect your smile with the crown designed to last a lifetime.","Active Library ID: 1281452757100868","Learn More","The Digital Product Lab","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=The%20Digital%20Product%20Lab&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
27,"last a lifetime.","Image/Unknown","2025-08-04",234,"❄️⭐ 150.000+ Θετικά Reviews ☃️❄️ Αγόρασε 1 photobook & πάρε άλλα 2 ΔΩΡΟ ❤️ Είναι ΠΑΝΕΥΚΟΛΟ να φτιάξεις το δικό σου! Αγοράζεις τώρα, ⭐ τα φτιάχνεις όποτε θέλεις! ❤Αν δεν λατρέψεις τα photobooks σου, τα επιστρέφεις ΔΩΡΕΑΝ! ⭐ 100% Εγγύηση Ικανοποίησης 💎 Premium ποιότητα 🚀 Express Αποστολή","Active Library ID: 739401048799083","Learn More","The Digital Product Lab","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=The%20Digital%20Product%20Lab&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
28,"🎨 Fully customizable (colors, content & images)","Image/Unknown","2025-05-28",302,"🌟 Start creating your own workbooks and digital products now for less than $0.02 per worksheet page! 😍 👉 https://mightygrowthlab.com/the-ultimate-google-doc-workbook-creator/ 🛡 7-Day Risk-Free Guarantee: If it doesn't exceed your expectations, I'll refund you AND gift you 3 worksheets for your t","Active Library ID: 1459204405492495","Learn More","The Digital Product Lab","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=The%20Digital%20Product%20Lab&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
29,"Meta Ad Library","Image/Unknown","2024-05-15",680,"These results include ads that match your keyword search.","Active Library ID: 1842974032782610","Learn More","MasterResellRights.com","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=MasterResellRights.com&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
30,"Meta Ad Library","Image/Unknown","2026-01-14",71,"These results include ads that match your keyword search.","Active Library ID: 2371850783275528","Learn More","MasterResellRights.com","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=MasterResellRights.com&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
31,"match your keyword search.","Image/Unknown","2025-12-03",113,"NEW LAUNCH ALERT: THE DECORATIVE MOULD COLLECTION  https://www.amyhowardhome.com/pages/about-decorative-moulds-by-amy-howard-at-home","Active Library ID: 818043437718673","Learn More","MasterResellRights.com","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=MasterResellRights.com&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
32,"0:00 / 1:17","Image/Unknown","2026-02-09",45,"I’ve put my 20 favorite Canva Hacks into the Canva Crash Course, where you’ll learn the essentials without the overwhelm. Plus, you’ll also get Master Resell Rights, so you can sell the course as your own and keep 100% of the profits. 💸 These hacks have been loved by millions on social media, and C","Active Library ID: 2130462304456615","Learn More","MasterResellRights.com","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=MasterResellRights.com&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
33,"0:00 / 0:38","Image/Unknown","2025-12-22",94,"🚀 Take your business to the next level with this essential bundle—now at 70% off! 👇 https://wecreativelab.com/products/mental-health-planners-bundle-master-resell-rights Unlock 1500+ pages of customizable Mental Health and Wellness Planner templates with Master Resell Rights! Perfect for mental he","Active Library ID: 2056631251759627","Learn More","MasterResellRights.com","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=MasterResellRights.com&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
34,"the portal? (2,000+ Assets):","Image/Unknown","2025-11-11",135,"The best part? You Own The Rights. You can brand them, sell them, and keep 100% of the profit. It’s time to stop hustling and start flowing. Share the wisdom, keep the coins. That is the definition of abundance. Tap 'Shop Now' to download your Spiritual Empire! 👇🏾 https://mysticdownloads.com/pages","Active Library ID: 1525117152165649","Learn More","MasterResellRights.com","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=MasterResellRights.com&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
35,"SUPERPROFILE.BIO","Image/Unknown","2025-10-28",149,"ess! Explore diverse topics ranging from self-improvement, technology, and health to fiction, history, and more. Whether you’re a lifelong learner or a casual reader, this comprehensive library has something for everyone. Enjoy the convenience of reading anytime, anywhere, and never worry about miss","Active Library ID: 1365752138482339","Learn More","PLR.me","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=PLR.me&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
36,"SUPERPROFILE.BIO","Image/Unknown","2025-04-25",335,"your chance to enrich your mind and elevate your life—get your lifetime access to our 500+ eBook collection today! Stripes that move. Solids that stay. This is the upgrade your ankles have been waiting for. Don't miss the new High Performance Collection.","Active Library ID: 1051393033581144","Learn More","PLR.me","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=PLR.me&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
37,"ok Now","Image/Unknown","2026-03-04",22,"Como isso esta mudando minha rotina de plantões para o DIGITAL Activa este sistema de ingresos ocultos y comienza a ganar ingresos extra en dólares hoy.","Active Library ID: 1993147227997289","Learn More","PLR.me","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=PLR.me&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
38,"1:03","Image/Unknown","2026-03-03",23,"Activa este sistema de ingresos ocultos y comienza a ganar ingresos extra en dólares hoy. Comienza tu primer sistema con IA de forma simple y práctica.","Low impression count Library ID: 1274293671466173","Learn More","PLR.me","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=PLR.me&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
39,"NICIUSARMONDES.COM","Image/Unknown","2026-03-04",22,"Comienza tu primer sistema con IA de forma simple y práctica. Comienza tu primer sistema con IA de forma simple y práctica.","Low impression count Library ID: 2339768923197307","Learn More","PLR.me","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=PLR.me&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
40,"Meta Ad Library","Image/Unknown","2026-02-02",52,"These results include ads that match your keyword search.","Active Library ID: 25932552306354470","Learn More","Resell Rights Weekly","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Resell%20Rights%20Weekly&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
41,"500+ done-for-you digital products and templates you can resell as your own.","Image/Unknown","2026-02-02",52,"✅ Lead Magnets, Sheets, Dashboards, Website Templates, Trackers and More Always have something new to sell and add to your offers 💃 $27 a month. 30+ new products plus limited editions dropped monthly, a new trending product weekly.","Active Library ID: 2334101443738762","Learn More","Resell Rights Weekly","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Resell%20Rights%20Weekly&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
42,"oring Books & Activities","Image/Unknown","2026-02-02",52,"Always have something new to sell and add to your offers 💃 $27 a month. 30+ new products plus limited editions dropped monthly, a new trending product weekly. Done-for-you Digital Products you can resell again and again. Perfect for coaches, content and course creators.","Active Library ID: 1456968169401733","Learn More","Resell Rights Weekly","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Resell%20Rights%20Weekly&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
43,"oring Books & Activities","Image/Unknown","2026-02-02",52,"Always have something new to sell and add to your offers 💃 $27 a month. 30+ new products plus limited editions dropped monthly, a new trending product weekly. Done-for-you Digital Products you can resell again and again. Perfect for coaches, content and course creators.","Active Library ID: 1207207288253299","Learn More","Resell Rights Weekly","https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&is_targeted_country=false&media_type=all&q=Resell%20Rights%20Weekly&search_type=keyword_unordered&sort_data[mode]=total_impressions&sort_data[direction]=desc"
